"","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"1","USC00294366","JEMEZ DAM, NM US",35.3886,-106.5438,1642.3,"1953-09",NA,"",0,",0",0,",0",41,"5,0,29,",0,",,0,30,+",0,",,0,30,+",0.02,",,0,02,",93,"5,0,01,",NA,"",0.02,",,,0",0,",,,0",70.5,"5,0",88.4,"5,,,0",52.6,"5,,,0"
"2","USC00294366","JEMEZ DAM, NM US",35.3886,-106.5438,1642.3,"1953-10",NA,"",0,",0",0,",0",NA,"",0,",,0,31,+",0,",,0,31,+",0.36,",,0,20,",NA,"",NA,"",0.48,",,,0",0,",,,0",NA,"",NA,"",NA,""
"3","USC00294366","JEMEZ DAM, NM US",35.3886,-106.5438,1642.3,"1953-11",NA,"",0,"1,0",0,",0",NA,"",0,"1,,0,30,+",0.7,",,0,19,",0.43,",,0,05,",NA,"",NA,"",0.59,",,,0",0.7,",,,0",NA,"",NA,"",NA,""
"4","USC00294366","JEMEZ DAM, NM US",35.3886,-106.5438,1642.3,"1953-12",NA,"",1,"3,0",1,"1,0",NA,"",2,"3,,0,11,",2,"1,,0,11,",0.08,",,0,11,",NA,"",NA,"",0.12,",,,0",2,"1,,,0",NA,"",NA,"",NA,""
"5","USC00294366","JEMEZ DAM, NM US",35.3886,-106.5438,1642.3,"1954-01",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0.23,",,0,21,",NA,"",NA,"",0.51,",,,0",NA,"",NA,"",NA,"",NA,""
"6","USC00294366","JEMEZ DAM, NM US",35.3886,-106.5438,1642.3,"1954-02",NA,"",0,",0",0,"1,0",NA,"",0,",,0,28,+",0,"1,,0,28,+",0.04,",,0,15,",NA,"",NA,"",0.04,",,,0",0,"1,,,0",NA,"",NA,"",NA,""
"7","USC00294366","JEMEZ DAM, NM US",35.3886,-106.5438,1642.3,"1954-03",NA,"",0,",0",0,",0",NA,"",0,",,0,31,+",0,",,0,31,+",0.38,",,0,23,",NA,"",NA,"",0.75,",,,0",0,",,,0",NA,"",NA,"",NA,""
"8","USC00294366","JEMEZ DAM, NM US",35.3886,-106.5438,1642.3,"1954-04",NA,"",0,",0",0,",0",NA,"",0,",,0,30,+",0,",,0,30,+",0,",,0,30,+",NA,"",NA,"",0,",,,0",0,",,,0",NA,"",NA,"",NA,""
"9","USC00294366","JEMEZ DAM, NM US",35.3886,-106.5438,1642.3,"1954-05",NA,"",0,",0",0,",0",NA,"",0,",,0,31,+",0,",,0,31,+",0.16,"2,,0,12,",NA,"",NA,"",0.65,",a,,0",0,",,,0",NA,"",NA,"",NA,""
"10","USC00294366","JEMEZ DAM, NM US",35.3886,-106.5438,1642.3,"1954-06",NA,"",0,",0",0,",0",NA,"",0,",,0,30,+",0,",,0,30,+",0.82,",,0,26,",NA,"",NA,"",0.92,",,,0",0,",,,0",NA,"",NA,"",NA,""
